Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA20,MA60
2020-01-02,177.679993,180.009995,177.139999,180.0,163.247009,3601700,,,
2020-01-03,177.020004,178.660004,175.630005,178.449997,161.841248,2466900,,,
2020-01-06,177.149994,178.710007,176.350006,178.619995,161.995407,1998000,,,
2020-01-07,178.279999,178.509995,176.820007,177.899994,161.342438,2173000,,,
2020-01-08,178.0,181.5,177.649994,180.630005,163.818359,2758300,179.1199982,,
2020-01-09,181.509995,181.589996,179.759995,181.199997,164.335312,2746300,179.35999759999999,,
2020-01-10,181.610001,182.179993,180.139999,180.470001,163.673248,2103800,179.76399840000002,,
2020-01-13,180.940002,182.229996,180.360001,180.919998,164.08136,2090800,180.223999,,
2020-01-14,180.919998,182.550003,180.210007,181.369995,164.489471,2911200,180.9179992,,
2020-01-15,181.419998,181.860001,179.179993,179.779999,163.04747,2482200,180.747998,,
2020-01-16,180.679993,181.199997,179.690002,181.009995,164.162994,2149900,180.7099976,,
2020-01-17,181.0,182.149994,180.699997,181.350006,164.471329,3690100,180.8859986,,
2020-01-21,181.850006,181.910004,178.630005,179.389999,162.693756,3367700,180.5799988,,
2020-01-22,179.509995,180.570007,177.880005,178.029999,161.460342,2420200,179.9119996,,
2020-01-23,177.070007,178.440002,176.389999,177.740005,161.197342,2358400,179.5040008,,
2020-01-24,178.490005,179.809998,177.529999,178.149994,161.569153,2643100,178.93200059999998,,
2020-01-27,179.860001,180.589996,175.539993,175.630005,159.283722,4361400,177.78800040000002,,
2020-01-28,171.899994,172.339996,165.050003,165.580002,150.169113,8920700,175.026001,,
2020-01-29,166.350006,166.470001,161.529999,162.0,146.922287,5343900,171.8200012,,
2020-01-30,161.0,162.639999,158.759995,162.509995,147.384811,4357100,168.7739992,177.03649905,
2020-01-31,162.0,162.649994,158.229996,158.660004,143.893173,5740300,164.87600120000002,175.96949924999998,
2020-02-03,160.029999,160.309998,156.380005,156.589996,142.015823,3925500,161.06799940000002,174.87649919999998,
2020-02-04,159.770004,159.960007,157.0,157.240005,142.605331,4363900,159.4,173.8074997,
2020-02-05,159.119995,162.330002,158.699997,162.330002,147.221558,3118200,159.4660004,173.0290001,
2020-02-06,164.490005,165.0,162.470001,162.889999,147.729446,3413800,159.54200120000002,172.14199979999998,
2020-02-07,161.410004,161.919998,159.630005,160.080002,145.181,2736200,159.8260008,171.08600005,
2020-02-10,160.210007,161.259995,158.869995,160.149994,145.244461,2754800,160.53800040000002,170.06999969999998,
2020-02-11,161.0,162.520004,160.020004,162.449997,147.330414,2275100,161.5799988,169.14649965,
2020-02-12,164.240005,165.039993,163.570007,163.800003,148.554749,2736400,161.873999,168.26800005,
2020-02-13,161.759995,161.869995,159.0,159.759995,146.202805,3413900,161.2479982,167.26699985,
2020-02-14,159.850006,161.139999,158.820007,161.009995,147.346786,2233500,161.4339968,166.26699985,
2020-02-18,160.360001,160.529999,158.039993,158.880005,145.397537,2478900,161.179999,165.1434998,
2020-02-19,159.080002,160.470001,158.360001,159.339996,145.818497,2296400,160.5579988,164.14099965,
2020-02-20,159.0,161.389999,158.5,158.559998,145.104675,3275100,159.5099978,163.16749959999999,
2020-02-21,158.330002,158.589996,156.119995,156.929993,143.612961,3535300,158.9439974,162.126999,
2020-02-24,154.449997,154.710007,152.220001,152.550003,139.604691,3635600,157.251999,160.84699945,
2020-02-25,153.309998,153.440002,145.970001,146.850006,134.388397,5263400,154.8459992,159.40799950000002,
2020-02-26,149.570007,151.820007,148.089996,148.960007,136.319351,5152100,152.7700014,158.57699975,
2020-02-27,151.229996,155.429993,149.0,150.160004,137.417496,8241600,151.0900026,157.98499995,
2020-02-28,154.089996,156.720001,146.0,149.240005,136.575562,11499700,149.55200499999998,157.32150045,
2020-03-02,151.339996,153.429993,148.369995,153.020004,140.034836,8026300,149.6460052,157.03950045000002,
2020-03-03,152.440002,154.0,144.440002,145.240005,132.915009,8296500,149.324005,156.4720009,
2020-03-04,147.020004,154.0,145.990005,153.979996,140.913345,5773800,150.32800279999998,156.30900044999998,
2020-03-05,150.800003,154.350006,149.550003,151.410004,138.561447,5887000,150.57800279999998,155.76300055000002,
2020-03-06,149.589996,154.740005,147.869995,153.649994,140.611328,7155100,151.4600006,155.3010003,
2020-03-09,146.589996,149.460007,143.550003,144.059998,131.835144,8194400,149.6679994,154.50000010000002,
2020-03-10,149.020004,153.380005,144.880005,153.300003,140.291061,5651700,151.279999,154.15750055,
2020-03-11,149.729996,149.729996,146.470001,147.240005,134.745285,4748200,149.9320008,153.39700095,
2020-03-12,139.960007,141.710007,130.339996,133.580002,122.244476,8215800,146.36600040000002,151.8860009,
2020-03-13,141.009995,141.690002,131.0,141.679993,129.657104,6580300,143.9720002,150.98200079999998,
2020-03-16,129.860001,135.5,128.009995,130.910004,119.801048,7440800,141.3420014,149.47700125,
2020-03-17,131.940002,136.770004,129.610001,134.440002,123.031487,6535400,137.5700012,148.25500110000002,
2020-03-18,128.460007,139.369995,128.389999,137.020004,125.392548,6860400,135.526001,147.1390015,
2020-03-19,137.710007,140.179993,132.929993,137.509995,125.840973,6365700,136.31199959999998,146.08650135,
2020-03-20,138.070007,139.240005,122.709999,124.889999,114.291901,9589200,132.9540008,144.48450165,
2020-03-23,128.160004,128.399994,114.040001,117.870003,107.867607,7934300,130.34600059999997,142.75050165,
2020-03-24,122.290001,133.449997,121.0,132.720001,121.457458,9311700,130.0020004,142.0440014,
2020-03-25,133.149994,134.690002,126.800003,131.539993,120.377571,7742500,128.9059982,141.1730007,
2020-03-26,131.789993,136.380005,130.610001,136.179993,124.623825,6717000,128.6399978,140.47400015,
2020-03-27,132.830002,137.070007,130.910004,133.240005,121.933334,4262300,130.309999,139.67400014999998,158.01066655000002
2020-03-30,132.25,138.009995,131.059998,137.740005,126.05146,3869500,134.2839994,138.91000019999998,157.3063333
2020-03-31,135.690002,139.440002,135.679993,136.509995,124.925819,3613700,135.0419982,138.4734997,156.60733326666667
2020-04-01,132.0,135.839996,131.009995,133.139999,121.841805,3777600,135.3619994,137.43149985,155.8493333333333
2020-04-02,132.360001,138.210007,132.100006,137.910004,126.207039,3990300,135.70800160000002,136.75649985,155.1828335
2020-04-03,136.009995,137.440002,132.899994,133.789993,122.436646,3588300,135.8179992,135.7634998,154.40216663333334
2020-04-06,137.860001,141.25,136.899994,140.699997,128.7603,5639700,136.4099976,135.59549975,153.7271666333333
2020-04-07,147.5,150.639999,144.399994,144.600006,132.329315,5496300,138.0279998,135.1604999,153.12933338333332
